word,Translation
أغنيةٌ,song
هادئة،,"Quiet,"
المتناقضة؛,paradox;
الحزن،,"Sadness,"
النعمة,Grace
العوز,Want
يحلمان,They dream
برحلةٍ,On a trip
طويلةٍ,Long
والأنهار،,"and rivers,"
يلتقي,meet
والحرارة,And the heat
رقصةٍ,dance
والموت،,and death
انسجامٍ,coherence
فريد,unique
بالنباتات,With plants
العطرية،,"aromatic,"
يستمعان,They listen
المروحة,fan
الخافت,The faint one
وصوت,And a voice
الأمواج,Waves
بحرٍ,sea
بعيد،,"far,"
ويستعرضان,and presentation
ذكريات,memories
الخوالي,The good old ones
يلعبان,They are playing
الساحات,Squares
الواسعة,The wide
ويجريان,Vajrayan
كالأطفال,Like children
دون,Don
همّ،,"they,"
ويتذكران,And they remember
الآباء,parents
والأجداد,and ancestors
تحكي,She tells
الوفاء,Loyalty
والصدق,And honesty
تذكر,to remember
أبطالٍ,revocation
سبقوه,They preceded him
يعملون,They work
ونشاط،,"And activity,"
يقاتلون,They fight
للحفاظ,To preserve
كرامتهم,Their dignity
قلبًا,Heart
الجراح,surgeon
والتحديات,And the challenges
الليلة،,"Tonight,"
انسكاب,Spill
دموعهما,Their tears
تعاهدا,They pledged
مواجهة,Confrontation
صعب,difficult
وقاسٍ،,"Waqas,"
قوتهم,Their strength
الوعود,Promises
قطعاها,They cut it off
نفسيهما,themselves
يدركان,They realize
الطريق,The way
أمامهما,In front of them
مليءٌ,full
بالعقبات؛,With obstacles;
المظلمة,The dark
يعلوها,Above it
السيارات,Cars
والدراجات،,"and bicycles,"
المزدحمة,Crowded
بأصوات,With voices
الباعة,Sellers
والباعة,And the sellers
المتجولين،,"itinerants,"
المقمرة,Moonlit
تقدم,progress
والسنين،,"Wallisin,"
حبهما,Their love
معالمهما،,"Their features,"
فصار,So it became
رجلًا,A man
ناضجًا,Mature
المريرة،,"Bitter,"
امرأةً,woman
جميلةً,beautiful
شعرها,Her hair
لون,color
المشرقة،,"bright,"
وعيناها,And her eyes
اللتين,Which
تعكسان,They reflect
البحار,Seas
وسحر,And magic
النجوم,The stars
ظلّا,shadows
يسيران,They are walking
يواجهان,They face each other
وقديم،,"ancient,"
السلام,peace
والاضطراب،,"and turmoil,"
معارك,Battles
تخوضها,You go through it
النفوس,Souls
الطموحة,Ambitious
يعملان,They work
مشروع,project
فني,technical
والفن,And art
التصويري،,"pictorial,"
جميع,all
التقنيات,Technologies
الحديثة,Modern
حاسوب,Computer
ولابتوب,childhood
وشاشة,And a screen
عرض،,"an offer,"
عملًا,Action
فنيًا,technically
معبرًا,Expressive
يجسد,Embodies
المجتمع,the society
وأحلامه,and dreams
وآماله,And his hopes
بالتناقض؛,By contradiction;
يحتسيان,They drink
كوبًا,A cup
ويستمعان,And they listen
حزينة,Sad
تعبّر,Express
ضياع,loss
يضحكان,They laugh
كأطفال,As children
ملعبٍ,stadium
واسع,wide
تُحلّق,You fly
الطائرات,Airplanes
الورقية,Paper
صافية,Clear
العنف,Violence
واللطف؛,and pleasure;
اندلعت,broke out
مشاجرة,Quarrel
شرسة,Fierce
بعض,some
الأحياء,Biology
الفقيرة،,"poor,"
اشتدت,It intensified
أصواتهم,Their voices
وارتفعت,And it rose
نبرة,tone
القاسية،,"cruel,"
استطاعا,They could
يجدا,Very much
العداء,Hostility
والعنف،,"And violence,"
متذكرين,Remembering
وأجدادهما,And their grandparents
ضرورة,necessity
العفو,pardon
والتسامح,and tolerance
جاء,came
يومٌ,day
مشهود,evident
قررا,They decided
الزواج,Marriage
احتفالاتٍ,parties
غامرة,Immersive
جمعَت,collected
أفراد,Individuals
العائلة؛,family;
حضر,civilized region
ابنهم,Their son
وابنتهم,And their daughter
ينتمي,belongs
لعائلةٍ,For a family
جذورها,Its roots
والأمكنة،,"and places,"
أمٍ,or
حنونة,Affectionate
أبٍ,dad
أخٍ,brother
وأختٍ,and sister
جدٍ,grandfather
وجدة,Oujda
حفلٍ,A party
فخمٍ,luxury
أقيم,I stay
قاعةٍ,hall
كبيرة,Great
بالأزهار,With flowers
والأنوار,And Anwar
المبهرة،,"dazzling,"
تخللتها,Interspersed with it
ألحانُ,Melodies
عزفتها,I played it
فرقةٌ,band
شهيرة,Famous
آلات,Devices
متعددة،,"multiple,"
فتناغمت,So I harmonized
الإيقاعات,Tunes
سيمفونيةً,A symphony
وحدة,lonliness
والمصير,and fate
الألوان,colors
تتماوج,swaying
القاني,Al-Qani
الداكن,Dark
شعر,poetry
تأخذ,take
منحىً,direction
جديدًا،,"new,"
وعبرة,And a lesson
يخلُ,It disturbs
اليوم,today
تجسد,Incarnate
تناقضاتها؛,its contradictions;
تناول,Eat
الضيوف,Guests
وجبات,Meals
شهيّة,appetite
حساء,soup
الدجاج,Chicken
وكعكة,And a cake
الفواكه،,"fruits,"
وشربوا,And drink
عصير,juice
البرتقال,Orange
وماء,And water
زمزم،,"Zamzam,"
وتبادلوا,and exchanged
التحايا,Regards
بعباراتٍ,In words
مؤدبة,Polite
احترام,respect
وتفاؤل,and happy
المستقبل,the future
وتنوعت,and diversity
ضحكاتٍ,Laughs
عفوية,spontaneity
وأنغامِ,and finally
حديثٍ,accident
راقٍ،,"classy,"
وجديدة،,"And new,"
انتصاراتٍ,Victories
قبل,before
تتحول,It turns
معاركٍ,Battles
ضخمة،,"huge,"
أملٍ,hope
يتجدد,It is renewed
فجرٍ,dawn
واستمرّت,And it continued
انقضى,It's over
زمنها،,"Her time,"
لتبدأ,To start with
معها,With her
عمل,The process
وعبث،,"And in vain,"
فرح,joy
وحزن،,"And sadness,"
وظل،,"And he remained,"
كلمةً,word
وكلمة،,"And a word,"
رقمًا,Number
ورقمًا،,"And number,"
وكلها,And all of them
تشكل,form
غنيةً,Rich
الأسرة,Family
والشعب,and branches
تجاربهما،,"their experiences,"
تعلّم,to learn
دروسًا,Lessons
جمّة,A lot
الزمن؛,time;
لغةٌ,language
شاملة,All inclusive
مرحلةٍ,phase
مفرداتها,Its vocabulary
الخاصة،,"private,"
عام،,"general,"
شهر،,"city,"
أسبوع،,"week,"
ساعة،,"hour,"
نهرٍ,a river
رقراق,Raqraq
تُقدّر,Appreciate
بثمن،,"At a price,"
سواء,whether
فرحٍ,joy
تضيء,Light up
كالشمس,Like the sun
المشرقة,The bright one
أو,or
حزنٍ,sadness
تُظلم,You are wronged
الدنيا,The world
كليلٍ,blunt
حالك,How are you?
وتعلّمّا,And learning
والأمثال,And proverbs
تنقلها,Transport it
الألسن,Tongues
حصد،,"reap,"
وصل،,"receipt,"
فالحياة,It is life
سلسلةٌ,series
التحديات,Challenges
والنجاحات,And successes
والتجارب,And experiments
تُثري,It enriches
وتنير,and
العقل,Mind
زحمة,Crowd
تخللت,Permeated
رحلتهما،,"their journey,"
اهتمامهما,Their interest
العلم,Science
والفن؛,and art;
يعدّان,They count
الأرقام,Numbers
صفر,Zero
مليار،,"one billion,"
يتناوبان,They take turns
ذكر,male
والاثنين,And Monday
والثلاثاء,And Tuesday
والأربعاء,And Wednesday
والخميس,and Thursday
والجمعة,And Friday
والسبت،,"And Saturday,"
ويتحدثان,I will talk
أشهر,Months
بدءًا,Starting
وصولًا,Arriving
المواد,materials
تبنى,adoption
زجاج,glass
ومعدن,and mining
وبلاستيك,and plastic
قياسات,Measurements
والقدم,And the foot
والبوصة،,"and inches,"
الأشكال,Shapes
الهندسية,Engineering
دائرة,circle
ومربع،,"square,"
تقيس,You measure
يقتصر,is limited
حوارهما,Their dialogue
الأمور,matters
العملية,Process
فقط،,"only,"
امتدّ,extension
الوجود؛,existence;
تحدثا,They talked
الدين,Religion
الله,God
والسماء,And the sky
والجنة,and paradise
والجحيم،,and hell
الموت,death
والحياة،,"And life,"
طاقة,energy
تغذي,Nourish
الهموم,Worries
والألم,And pain
يستعيران,They borrow
أمثالًا,Proverbs
شعبيةً,popularity
تنقل,Navigate
القدم،,"foot,"
التضحية,Sacrifice
والإيثار،,"and sacrifice,"
مرآة,mirror
النفس،,"self,"
والوقت,and time
كالسيف,Like a sword
إن,that
تقطعه,You cut it
قطعك،,"He cut you off,"
والعلم,and knowledge
نور,others
يخبو,Fading
تناقشا,Discuss
والحرب,and war
والسلام،,"And peace,"
وتداولا,and trade
تتعلق,Related
بالمال,With money
والدولار,Valdolar
والفواتير,And invoices
والعقود،,"and contracts,"
المخدرات,Drugs
والأدوية،,"And medicines,"
إطارٍ,framework
الفلسفة,Philosophy
تُعلي,the highest
الهادئة,The quiet one
ضفاف,banks
الجاري،,"Current,"
الإنسان،,"man,"
غريبة,Strange
ضحك,He laughed
الطفل,The child
وبكاء,And crying
العجوز،,"old man,"
قوة,power
الجسد,The body
وضعف,And weakness
الروح،,"the spirit,"
تضرب,You hit
الشواطئ,Beaches
الرملية،,"sandy,"
تعصف,Storm
وترقص,And she dances
أوراقها،,"its leaves,"
أمطار,Rain
تتساقط,It's falling
بخفة,lightly
عطش,thirst
النباتات,Plants
وتُحيي,revive
الربيع،,"the spring,"
وتمنح,And it is granted
رونقًا,Brilliant
خاصًا,Especially
يشبهه,He looks like him
استمرت,It continued
والشاب،,"Walsh,"
دروب,Paths
والأرياف،,"And Ariyaf,"
حلبات,Arenas
المنافسة,Competition
المدرسة,the school
والجامعة،,"And the university,"
تعلما,They learned
للعلم,For your information
قوة،,"power,"
للفن,For art
لحن،,"tone,"
للكتابة,To write
تكون,Be
القلوب,Hearts
يجلسون,They sit down
طاولة,table
يشربون,They drink
ويتبادلون,and exchange
والخواطر،,"And thoughts,"
هاتف,phone
محمول,Portable
بإشعارات,With notifications
الرسائل،,"messages,"
وحاسوب,and computer
يعرض,displays
برامج,Programs
تعليمية,Educational
لامعة،,"shiny,"
وكاميرا,And a camera
تلتقط,Pick up
صورًا,Pictures
تخلد,Immortal
لحظاتهم,Their moments
الثمينة,Precious
مرحلة,phase
مراحل,Steps
نضوجهم،,"their maturity,"
يواجهون,They face
تحديات,Challenges
تُحصى؛,counted;
صراعات,Conflicts
داخلية,Internal
الخير,Goodness
والشر،,"And evil,"
تتطلب,require
منهم,Of them
الشجاعة,Courage
والصبر،,"And patience,"
ساخرة,Sarcastic
يمشون,They walk
جسورٍ,Bold
تعلو,It rises
نهر,river
يقودهم,He leads them
إيمانهم,Their faith
الحواجز،,"barriers,"
وأنه,And that
ينير,It illuminates
الدروب,The paths
النهاية،,"the end,"
تحققت,It came true
أحلامهما,Their dreams
كأحلام,Like dreams
الصغار؛,The little ones;
بنيا,Banya
بيتًا,Home
صغيرًا,Young
ملئًا,Full
بالدفء,With warmth
والحب،,"And love,"
الجدران,Walls
تُزينها,Decorate it
لوحات,Paintings
فنية,Artistic
رسمتها,I drew it
أياديهما،,"their hands,"
الغرف,Rooms
تُعطرها,You perfume her
الطازجة،,"fresh,"
ركنٍ,a member
يحكي,He tells
شوق,hobby
وإصرار,And insistence
أصبح,become
للأمل،,"for hope,"
فالمائدة,At the table
بأطباق,With dishes
الفطور,Breakfast
والغداء,And lunch
والعشاء،,"And dinner,"
والكرسي,Walker
الأحاديث,Hadiths
الطويلة,The long one
والضحكات,and jokes
الخفيفة،,"light,"
والسرير,And the bed
ملاذًا,Haven
يضم,Includes
أحلام,dreams
وذكريات,and memories
الماضية,past
هكذا,thus
تنام،,"You sleep,"
وحيث,And where
تُحاك,It is woven
القصص,Stories
كنسيجٍ,As a fabric
والمعاني,And the meaning
واستمر,and continue
مسيرة,march
يكتبون,They write
جديدةً,New
قوةً,power
للحاضر,For the present
وعزمًا,And determined
للمستقبل،,"for the future,"
حاملين,Pregnant
معهم,With them
والجرح,and injury
والأمل,And hope
يعيش,He lives
ويتعلم،,and learn
يبني,Builds
ويُبدع،,"And he creates,"
يحول,Converts
الأزمنة,The times
والأماكن,and places
والأرقام,and numbers
والألوان،,"and colors,"
والأنغام,and songs
والأحاسيس،,"and feelings,"
حيًا,Alive
سمعها،,"He heard it,"
تذكرهم,Remember them
جسور,Bridges
التواصل,communication
القلوب،,"hearts,"
وتعلم,And learn
يفهم,Understands
تناقضاتها,Its contradictions
وعذوبتها،,"And her sweetness,"
يتعلم,He learns
٢٠,٢٠
يحتاجه,He needs it
لفهم,To understand them
٨٠,٨٠
لغتها,Her language
ومصيرها,and destiny
الملحمة،,"epic,"
ارتفعت,rose
مدرجات,Terraces
فرقة,band
تعزف,Playing
عشقٍ,love
تنتهي،,"ends,"
الرياح,Wind
لتظل,To remain
خالدٍ,immortal
محفورة,Engraved
معانيها,Their meanings
والأزقة،,"And alleys,"
والغابة،,"and the forest,"
وحكايةً,literally
تفوق,excel
الوصف،,"Description,"
ونغمةً,And a tone
تبعث,You send
يبحث,Searching
عتمة,darkness
بهذا,With this
نسطر,We write
شامِلةً,Inclusive
اللغة؛,the language;
الأفعال,Actions
تصف,Describe
العمل,the job
واللعب,And the game
والمشي,Walk
والركض,And running
والحديث,And the talk
والتفكير،,"And thinking,"
الصفات,Attributes
تميز,Excellence
والقصر,and palace
والضيق,And distress
والاتساع،,"and expansion,"
كالكلب,Like a dog
والقط,And the cat
والسمك,and fish
والطائر،,"And the bird,"
الطعام,Food
والشراب,And drink
كالبيض,Like eggs
والعصير،,and juice
الأماكن,Places
كالمدينة,Like a city
والشارع,and the street
والمطار،,"and rain,"
وساعة,And an hour
ودقيقة,And accurate
وبينها,And then
كلمة,word
جزءٍ,part
وجدان,conscience
وروحه,And his soul
تسعى,seek
التعلم,Learning
والفهم,And understanding
والحب,And love
العتيقة,Antique
أطياف,Spectra
بسحر,With magic
وروعة,And wonderful
الحكايات،,"stories,"
يسطع,Shines
نورُ,Light
الفجر,Dawn
أسوارها,Its walls
المصنوعة,Made
الحجر,Stone
المُصقول,Polished
والخشب,And wood
العتيق,The ancient
بذكريات,With memories
الخوالي،,"The good old ones,"
عاشت,She lived
قصةُ,story
حبٍّ,love
نادرة,Rare
فتى,boy
يُدعى,He is called
تُدعى,She is called
للنضوج,to mature
تقلبات,Fluctuations
وتعقيدات,and complications
العلاقات,Relationships
الإنسانية,Humanity
الفارع,Al Faraa
ذو,Dhu
الوجه,Face
المشعّ,The radiant
بنور,With light
الحكمة,Wisdom
تعقيدات,Complications
يتأرجح,Swinging
أدوار,Roles
كالعازف,Like a musician
يلحن,He composes
مقطوعات,Tracks
يُغنيها,He sings it
الباكر,The early one
وظلال,And shadows
الحالك,Dark
يتميز,It is distinguished
بقامته,With his stature
والصلابة،,"and hardness,"
وعيناه,And his eyes
اللتان,who
تحملان,They get pregnant
بريق,luster
الذكريات,Memories
ورقة,paper
الأحلام,Dreams
فكانت,So it was
النبيلة،,"Noble,"
المتوسطة,Medium
أشعة,rays
النسيم،,"breeze,"
حاملةً,Pregnant
ثنايا,Folds
عينيها,Her eyes
الأمل،,"hope,"
وبسمتها,And her smile
تخترق,Penetrate
كالنسمة,Like a breeze
العطرة,Fragrant
حار,hot
تحديدًا,Specifically
استُقبل,received
بأشعة,With x-rays
الذهبية،,"golden,"
آلاتٌ,Machines
وحديثة،,"And modern,"
للحياة,For life
الحديد,Iron
والمعدن,and minerals
يشتعل,On fire
كالنار,Like fire
عند,when
ملامسته,Touching it
للقالب,For mold
يتقن,Mastered
فنون,Arts
اليدوية,Handmade
ويبرع,And he excels
تشكيل,formation
والفضة،,"And silver,"
مستلهماً,Inspired
الفرن,Oven
وإيقاع,And rhythm
المطارق,Hammers
موسيقىً,music
الورشة،,"The workshop,"
الخشب,Wood
المنقوش,Mangoosh
والحديد,and steel
المندمج,Integrated
الإبداع،,"creativity,"
يُمضي,He goes on
ساعات,hours
طويلة,Long
التركيز,the focus
وحديث,And modern
الآلات,Machines
الحاسوب,Computer
واللاب,wallah
توب،,"Repent,"
تُضيء,light up
الشاشة,Screen
ببريق,Brilliantly
المتجددة,Renewable
الإثنين،,"Monday,"
ارتدت,She bounced
حلةً,A suit
الربيع,the spring
العميق,The deep
مسرح,stage
عبير,fragrance
الحرير,Silk
يتمايل,swaying
خطوطه,His lines
المنحنية,Curved
كلوحةٍ,Like a painting
فنيةٍ,Artistic
قصةَ,story
وقفت,I stood up
ورشة,workshop
تملأها,You fill it
تنطق,You pronounce
برقة,gently
الفجر،,"dawn,"
فتبادلا,So they exchanged
النظرات,The looks
وكأنهما,as if
يعيشان,They live
لحظةً,Just a moment
تتعدى,It exceeds
فسألت,So I asked
بصوتٍ,With a voice
هادئٍ,calm
مفعمٍ,Excited
بالأسئلة,With questions
الوجودية,Existentialism
"""هل","""Do"
تُدرِك,You realize
رقصةٌ,dance
المُفعم,The invigorating one
بالأحلام,With dreams
يتكلل,He is crowned
بالإثارة,With excitement
والمستقبل,And the future
وعد,a promise
"النور؟""","""The light?"""
وعدٌ,a promise
جديدٌ،,"new,"
فرصةٌ,an opportunity
لإعادة,To redo
والفؤاد,And Fouad
توالت,the toilet
وتداخلت,and overlap
لحظاتهما,Their moments
سيمفونيةٍ,A symphony
معقدةٍ,It's complicated
الحبّ,love
والفراق،,and parting
امتلأت,I'm full
بروائح,With scents
المُرّة,Bitter
الطازج,Fresh
الأفران,Ovens
وامتزج,A mixture of
بخطواتهم,With their steps
الأرصفة,Sidewalks
المرصوفة,Paved
بالأحجار,With stones
المتآكلة,Corroded
يتجولان,They walk around
تُعرض,exposure
الأقمشة,Fabrics
الفاخرة,Luxury
