word,Translation
tunaninsa,his thoughts
kana,you are
ɗorewa,durability
baya,behind
faduwa,fall
muryar,the voice
tsuntsaye,birds
tafki,lake
dabbobi,animals
kare,protect
mushin,mushin
filin,the field
sauko,come down
in,if
maka,for you
muhimmanci,importance
matashi,cushion
tsofaffi,the elderly
danshi,moisture
bushe,dry
shiru,silence
makaho,blind
komai,everything
talaka,poor man
kauri,thickness
siriri,slender
tsada,cost
rahusa,cheap
flat,flat
matsi,pressing
saki,release
high,high
low,low
datti,dirt
rauni,wound
matacce,dead
rayayye,live
nukiliya,nuclear
shahararre,fabulous
wanzu,exist
ƙididdiga,statistics
lissafa,List
ila,ila
miliyan,million
1st,1 st
2nd,2nd
3rd,3rd
4th,4th
5th,5th
lissafi,calculation
ma'ana,mean
kwai,egg
cuku,cheese
burodi,bread
miyar,soup
keki,cake
kaza,chicken
nama,meat
tuffa,apple
ayaba,banana
lemu,orange
lemon,lemon
tsami,sour
masara,corn
shinkafa,rice
iri,brand
wuƙa,knife
cokali,spoon
faranti,plates
kofi,copy
tebur,table
kujeru,chairs
tunatar,the reminder
abinci,food
ruwa,water
fensir,pencil
alƙalami,pen
takarda,paper
girki,cooking
kyaututtuka,gifts
mabuɗi,key
ƙofofi,doors
zobe,ring
katin,the card
hotuna,photos
littattafai,books
fenti,paint
tsabtace,clean
iyali,family
uwan,brother
mahaifa,parents
alhamis,Thursday
saniya,cow
rubutu,inscription
taru,come together
al'adu,culture
saurari,listen
rukunin,the group
mawaka,musicians
masaku,fabric
komfuta,computer
ƙungiyoyi,groups
dalibi,Student
lauya,lawyer
likita,doctor
majinyaci,inmate
hidima,service
sakatare,secretary
fasto,pastor
yan,that
sanda,stick
soja,military
mawaki,singer
marubuci,writer
manaja,manager
dan,son
jarumi,warrior
tufafi,underwear
hula,cap
skirt,skirt
t-shirt,t-shirt
wando,pants
takalma,shoe
bikin,the celebration
kyan,beauty
koraye,green
toka,ash
gefe,edge
suit,suits
aljihun,the pocket
kaya,load
makulli,lock
ofis,office
wuraren,the places
gudanar,manage
aiyukan,activities
agusta,August
daji,bush
ciyawa,grass
zuciyarta,her heart
buga,print
yamma,west
zan,i will
tagulla,copper
tsara,arrange
mitoci,meters
santimita,centimeter
fam,pound
murabba'i,Square
giciye,cross
ƙusurwa,corner
dawwama,forever
tsawon,length
dadi,sweet
ka,you
ku,you
kun,you
banbance-banbancen,the differences
ƙabilu,tribes
sarauniya,queen
shugaba,leader
makwabta,neighbors
yar,participant
aboki,friend
aljanna,paradise
jahannama,hell
mutuwa,death
magani,remedy
kuɗi,money
daloli,dollars
aurẽ,marriage
ƙungiya,association
ƙabila,tribe
jinsi,category
kisa,execution
kurkuku,prison
yaki,war
zabe,vote
mujalla,magazine
guba,poison
bindiga,rifle
gasar,the competition
atishawa,sneeze
kwallo,ball
farashi,price
kwangila,contract
magunguna,medicines
shigowa,entry
shirya,prepare
satumba,September
furen,the flower
ɗabi’ar,the behavior
daure,endure
kalli,look
ido,eye
fuka-fukin,the wings
kasancewa,attendance
launuka,colors
kore,banish
ƙaramin,the little one
ƙirar,the design
ƙaƙƙarfan,strong
ƙidayar,the census
miliyoyin,millions
gaske,really
safiyar,morning
faburairu,February
hunturu,winter
waka,song
siffofi,features
zane,design
wakiltar,represent
halittar,the creation
kewaye,around
abu,thing
guguwa,hurricane
shigo,come in
tikitin,the ticket
jirgi,board
sufuri,transportation
kwanaki,days
mataki,step
fassarorin,Translations
hikimomi,wisdom
talabijin,television
babban,big
ɗora,load
na’urori,devices
fiye,more
kashi,bone
girman,the size
ƙauye,village
faɗin,the width
sa’a,good luck
tuna,remember
mana,us
farko,beginning
ƙarshen,the end
zafin,the pain
ƙarin,more
kammala,completed
zumunta,kinship
sauka,alight
tsintsiya,broom
mazugi,cone
tsaye,standing
ƙofar,the door
fargaba,fear
karɓi,accept
bashir,debt
kunshi,package
marasa,the ones who don't
kwarewa,experience
ƙunshi,package
jimlolin,sentences
maganganun,the statements
barkwanci,joke
azanci,sensibility
gwaninta,skill
sahihanci,authenticity
hannunta,her hand
sauti,sound
nutsuwa,peace of mind
tsinkayar,the prediction
“gaskiya”,"""truth"""
“addu’o’in,"""The prayers"
“nishadantarwa”,"""entertaining"""
“muhimmanci”,"""importance"""
“shawarar,"""The proposal"
“kwantar,"""Lie down"
“fargabar,"""Fear"
“mafi,"""the best"
inganci”,"quality"""
tattaunawarsu,their conversation
dangi,family
abokai,friends
shiri,plan
yanke,decide
shawarar,the decision
mulki,rule
gine-gine,buildings
kyawawan,beautiful
“dandali”,"""platform"""
“zazzabi”,"""fever"""
“girma,"""bulk"
kasaita”,"weak"""
“hazaka”,"""genius"""
sarauta”,"empire"""
“aljanu,"""demons"
kasuwa”,"market"""
babur,motorcycle
ƙawata,adorn
fitilun,the lights
titunan,the streets
titin,the street
rubutun,the text
zane-zane,paintings
ƙauyuka,villages
birane,cities
ƙasashe,countries
“girgije”,"""cloud"""
“ƙananan,"""small"
taurari”,"stars"""
“rabin,"""half"
rana”,"day"""
ƙanƙantarwa”,"shrink"""
“hasken,"""the light"
fitila”,"lamp"""
ƙararrawa”,"alarm"""
surori”,"chapters"""
kusurwa,angle
“sirrinsu”,"""their secret"""
“azancinsu”,"""their senses"""
“baƙon,"""The stranger"
kowa”,"each"""
“karkatattun,"""perverted"
“matsalolin,"""The problems"
bayani,solution
nau’i,type
“lafazi,"""accent"
tsabta”,"clarity"""
“faɗakarwa,"""warning"
“shawarwari,"""debate"
tsantsan,careful
lokaci”,"while"""
“mai,"""May"
harshensa,his language
yasan,he knows
“daidai,"""equal"
daidai,equal
nufi”,"purpose"""
iliminta,her knowledge
yawan,the number
kasuwanni,businesses
gidajen,the houses
“kankara”,"""scrape"""
“hazo”,"""mist"""
“tsuntsun,"""The bird"
“ƙarfi,"""strength"
laushi”,"soft"""
“fure,"""flower"
ciyawa”,"grass"""
jiki”,"body"""
fuskar,the face
jagoranci,leadership
shago,shop
same,same
ado,decoration
hular,hat
riguna,dresses
zane-zanen,the paintings
al’adu,culture
takalmin,the shoe
“zannuwan,"""The arms"
tattauna,discuss
“wadatar,"""The supply"
ado”,"decoration"""
“zamanantar,"""modernization"
al’ada”,"tradition"""
“harshe,"""tongue"
“maganganun,"""The solution"
“fitattun,"""Eminent"
samo,found
ziyara,visit
“dandalin,"""The platform"
“kofin,"""the cup"
“dutsen,"""The mountain"
hikima”,"wisdom"""
“adawarsa,"""His opposition"
“sirrukan,"""Secrets."""
nufin,the intention
gibin,the gap
sha’awar,desire
“saukin,"""easy"
fahimta”,"understand"""
“hadin,"""combination"
zamantakewa”,"social"""
“rayuwar,"""the life"
“hakikanin,"""Really"
al’amura”,"matters"""
“zaman,"""The session"
“ma’ana,"""meaning"
mu”,"we"""
nasaba,related
zamantakewa,social
ziyartar,visiting
wurare,places
lambuna,gardens
dakunan,the rooms
marubuta,writers
rubutu”,"inscription"""
kalmomi”,"words"""
tsari,arrangement
“ironsu,their iron
juyo,turn around
“ƙirar,"""The design"
“fassarar,"""Translation"
“sadaukarwar,"""Sacrifice"
ma’abota,owners
“sahihancin,"""authenticity"
zaune,sitting
ɗaki,room
kwalliya,beauty
ma’anar,the meaning
“hankali,"""mind"
“kalmar,"""the word"
idanuwa”,"eyes"""
sauti”,"sound"""
“fadar,"""the palace"
labari”,"story"""
“shayarwa,"""Drinking"
tattaunawar,the discussion
sirri,secret
matasan,hybrid
gwagwarmayar,the struggle
harsunan,the languages
gabata,past
“a,"""in"
faɗi,fall
tekuna,seas
wuyar,hard
murya”,"voice"""
“rashin,"""The lack"
tabbas”,"sure"""
“wakar,"""The song"
gamsuwa”,"satisfaction"""
kamance”,"similar"""
“bayyanar,"""The explanation"
ruhu”,"spirit"""
“haske,"""light"
“ɗimbin,“a lot
“tsantsan,"""Be careful"
ladabi”,"courtesy"""
nauyi”,"weight"""
tsari”,"arrangement"""
“ƙarfafa,"""consolidate"
gwiwa”,"knee"""
“tattalin,"""the economy"
“zuciyar,"""The heart"
“muryar,"""The voice"
“gaskiyar,"""The truth"
musanya,exchange
ginshiƙai,columns
inganta,prosper
“gidan,"""The house"
mawaka”,"singers"""
waƙoƙin,the songs
“tsananin,"""Severe"
yanayi”,"environment"""
“murmushin,"""The smile"
dariya”,"laugh"""
“ruhun,"""the spirit"
marubuci”,"writer"""
fassara”,"translate"""
“adabin,"""literature"
kansa”,"himself"""
ƙarewa”,"ending"""
banbanci,difference
waje,outside
“sifa,"""character"
“adadi,"""figure"
“ƙaramin,"""small"
duba,look
zurfi”,"depth"""
“tsarin,"""the system"
rikitarwa”,"complicated"""
“fagen,"""the field"
“daidaiton,"""correctness"
“sakamakon,"""the result"
“inshora”,"""insurance"""
“dogon,"""long"
bayani”,"solution"""
shawara”,"advice"""
“malamai”,"""teachers"""
“yan,"""little"
kwallo”,"ball"""
“’yan,"""A few"
wasa”,"game"""
“sha’awar,"""desire"
“ƙimar,"""value"
mutum”,"man"""
take,title
takawa,walking
ganin,see
walƙiya,flash
“bazara,"""spring"
zafi”,"heat"""
“sanyi,"""cold"
dumi”,"warm"""
“lafazin,"""The accent"
“daga,"""from"
nan”,"here"""
“sauraron,"""listening"
amsa”,"answer"""
“zurfin,"""The depth"
“kaddarar,"""Destiny"
reshe,branch
faɗaɗa,enlarge
al’adunsu,their culture
kansa,himself
tafarkin,the path
tubalin,brick
taimaka,help
imani,belief
to,so
ayyukan,the works
“buɗewa,"""Open"
ƙofa”,"door"""
“sauya,"""change"
fuska”,"face"""
“taɓa,"""touch"
“buɗe,"""open"
darussa”,"lessons"""
“cikakken,"""perfect"
ra’ayi”,"opinion"""
gwuiwa”,"knee"""
“haƙiƙanin,“The reality
ciki”,"abdomen"""
“fassarorin,"""Translations"
“sha’anin,"""The issue"
sake,again
junansu,each other
“kowane,"""every"
daraja,worth
ɗayan,the other
mafi,more
tsayu,stand up
hayaki,smoke
zuciyarsu,their heart
tayar,tire
“sai,"""until"
sauki”,"simple"""
“gabas,"""east"
yamma”,"west"""
kyau”,"excellence"""
“daren,"""The night"
hadin,together
matuƙar,while
muhimmancin,the importance
bangarori,panels
fannoni,fields
kimiyya”,"chemistry"""
“saurin,"""quick"
“sirrin,"""The secret"
ganewa,identification
wai,allegedly
kawai,only
tsarin,the system
zurfafa,deep
iliminsu,their knowledge
“dandamali”,"""platform"""
“lallashi”,"""persuasion"""
tsanani”,"severe"""
“fushin,"""The anger"
misalta,example
“siffar,"""shape"
“ƙaddarar,"""Destiny"
ɗayanmu,one of us
tarihinmu,our history
rarraba,alienate
fata,skin
shiryawa,planning
inganci,quality
sauyi,change
ƙa’idoji,regulations
cikakken,full
fitilar,the lamp
tauraro,star
daban,different
ƙarewa,ending
goge,polish
zukatansu,their hearts
matasa,youth
ingantaccen,improved
shaida,witness
hade,combined
duhun,the dark
wahalar,the difficulty
“zancen,"""The conversation"
“salon,"""salon"
